name,level,school,casting_time,range,components,duration,description
Phantom Steed,3rd,Ritual,"Illusion • V, S",1 Hour,,1 Minute,"Movement 3rd 1 Minute Ritual 30 ft. V, S 1 Hour Illusion None Movement A Large, quasi-real, horselike creature appears on the ground in an unoccupied space of your choice within range. You decide the creature’s appearance, and it is equipped with a saddle, bit, and bridle. Any of the equipment created by the spell vanishes in a puff of smoke if it is carried more than 10 feet away from the steed. For the duration, you or a creature you choose can ride the steed. The steed uses the Riding Horse stat block, except it has a Speed of 100 feet and can travel 13 miles in an hour. When the spell ends, the steed gradually fades, giving the rider 1 minute to dismount. The spell ends early if the steed takes any damage."
Planar Ally,6th,Conjuration,10 Minutes,60 ft.,"V, S",Instantaneous,"6th 10 Minutes 60 ft. V, S Instantaneous Conjuration None Summoning You beseech an otherworldly entity for aid. The being must be known to you: a god, a demon prince, or some other being of cosmic power. That entity sends a Celestial, an Elemental, or a Fiend loyal to it to aid you, making the creature appear in an unoccupied space within range. If you know a specific creature’s name, you can speak that name when you cast this spell to request that creature, though you might get a different creature anyway (DM’s choice). When the creature appears, it is under no compulsion to behave a particular way. You can ask it to perform a service in exchange for payment, but it isn’t obliged to do so. The requested task could range from simple (fly us across the chasm, or help us fight a battle) to complex (spy on our enemies, or protect us during our foray into the dungeon). You must be able to communicate with the creature to bargain for its services. Payment can take a variety of forms. A Celestial might require a sizable donation of gold or magic items to an allied temple, while a Fiend might demand a living sacrifice or a gift of treasure. Some creatures might exchange their service for a quest undertaken by you. A task that can be measured in minutes requires a payment worth 100 GP per minute. A task measured in hours requires 1,000 GP per hour. And a task measured in days (up to 10 days) requires 10,000 GP per day. The DM can adjust these payments based on the circumstances under which you cast the spell. If the task is aligned with the creature’s ethos, the payment might be halved or even waived. Nonhazardous tasks typically require only half the suggested payment, while especially dangerous tasks might require a greater gift. Creatures rarely accept tasks that seem suicidal. After the creature completes the task, or when the agreed-upon duration of service expires, the creature returns to its home plane after reporting back to you if possible. If you are unable to agree on a price for the creature’s service, the creature immediately returns to its home plane."
Planar Binding,5th,Abjuration,1 Hour,60 ft.,"V, S, M",24 Hours,"Control 5th 1 Hour 60 ft. V, S, M * 24 Hours Abjuration CHA Save Control You attempt to bind a Celestial, an Elemental, a Fey, or a Fiend to your service. The creature must be within range for the entire casting of the spell. (Typically, the creature is first summoned into the center of the inverted version of the Magic Circle spell to trap it while this spell is cast.) At the completion of the casting, the target must succeed on a Charisma saving throw or be bound to serve you for the duration. If the creature was summoned or created by another spell, that spell’s duration is extended to match the duration of this spell. A bound creature must follow your commands to the best of its ability. You might command the creature to accompany you on an adventure, to guard a location, or to deliver a message. If the creature is Hostile, it strives to twist your commands to achieve its own objectives. If the creature carries out your commands completely before the spell ends, it travels to you to report this fact if you are on the same plane of existence. If you are on a different plane, it returns to the place where you bound it and remains there until the spell ends. Using a Higher-Level Spell Slot. The duration increases with a spell slot of level 6 (10 days), 7 (30 days), 8 (180 days), and 9 (366 days). * - (a jewel worth 1,000+ GP, which the spell consumes)"
Plane Shift,7th,Conjuration,1 Action,Touch,"V, S, M",Instantaneous,"7th 1 Action Touch V, S, M * Instantaneous Conjuration None Banishment (...) You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire or the palace of Dispater on the second level of the Nine Hells, and you appear in or near that destination, as determined by the DM. Alternatively, if you know the sigil sequence of a teleportation circle on another plane of existence, this spell can take you to that circle. If the teleportation circle is too small to hold all the creatures you transported, they appear in the closest unoccupied spaces next to the circle. * - (a forked, metal rod worth 250+ GP and attuned to a plane of existence)"
Plant Growth,3rd,Transmutation,Special *,150 ft.,"V, S",Instantaneous,"Control 3rd Special * 150 ft. (100 ft. ) V, S Instantaneous Transmutation None Control This spell channels vitality into plants. The casting time you use determines whether the spell has the Overgrowth or the Enrichment effect below. Overgrowth. Choose a point within range. All normal plants in a 100-foot-radius Sphere centered on that point become thick and overgrown. A creature moving through that area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell’s area from being affected. Enrichment. All plants in a half-mile radius centered on a point within range become enriched for 365 days. The plants yield twice the normal amount of food when harvested. They can benefit from only one Plant Growth per year. * - Action (Overgrowth) or 8 hours (Enrichment)"
Poison Spray,Cantrip,Necromancy,1 Action,30 ft.,"V, S",Instantaneous,"Poison Cantrip 1 Action 30 ft. V, S Instantaneous Necromancy Ranged Poison You spray toxic mist at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d12 Poison damage. Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12)."
Polymorph,4th,Concentration,"Transmutation • V, S, M",1 Hour,,1 Action,"WIS Save Control (...) 4th 1 Action 60 ft. V, S, M * Concentration 1 Hour Transmutation WIS Save Control (...) You attempt to transform a creature that you can see within range into a Beast. The target must succeed on a Wisdom saving throw or shape-shift into Beast form for the duration. That form can be any Beast you choose that has a Challenge Rating equal to or less than the target’s (or the target’s level if it doesn’t have a Challenge Rating). The target’s game statistics are replaced by the stat block of the chosen Beast, but the target retains its alignment, personality, creature type, Hit Points, and Hit Point Dice. The target gains a number of Temporary Hit Points equal to the Hit Points of the Beast form. These Temporary Hit Points vanish if any remain when the spell ends. The spell ends early on the target if it has no Temporary Hit Points left. The target is limited in the actions it can perform by the anatomy of its new form, and it can’t speak or cast spells. The target’s gear melds into the new form. The creature can’t use or otherwise benefit from any of that equipment. * - (a caterpillar cocoon)"
Power Word Fortify,7th,Enchantment,1 Action,60 ft.,V,Instantaneous,"7th 1 Action 60 ft. V Instantaneous Enchantment None Buff You fortify up to six creatures you can see within range. The spell bestows 120 Temporary Hit Points, which you divide among the spell’s recipients."
Power Word Heal,9th,Enchantment,1 Action,60 ft.,V,Instantaneous,"9th 1 Action 60 ft. V Instantaneous Enchantment None Prone A wave of healing energy washes over one creature you can see within range. The target regains all its Hit Points. If the creature has the Charmed, Frightened, Paralyzed, Poisoned, or Stunned condition, the condition ends. If the creature has the Prone condition, it can use its Reaction to stand up."
Power Word Kill,9th,Enchantment,1 Action,60 ft.,V,Instantaneous,"9th 1 Action 60 ft. V Instantaneous Enchantment None Psychic You compel one creature you can see within range to die. If the target has 100 Hit Points or fewer, it dies. Otherwise, it takes 12d12 Psychic damage."
Power Word Stun,8th,Enchantment,1 Action,60 ft.,V,Instantaneous,"8th 1 Action 60 ft. V Instantaneous Enchantment None Stunned You overwhelm the mind of one creature you can see within range. If the target has 150 Hit Points or fewer, it has the Stunned condition. Otherwise, its Speed is 0 until the start of your next turn. The Stunned target makes a Constitution saving throw at the end of each of its turns, ending the condition on itself on a success."
Prayer of Healing,2nd,Abjuration,10 Minutes,30 ft.,V,Instantaneous,2nd 10 Minutes 30 ft. V Instantaneous Abjuration None Healing Up to five creatures of your choice who remain within range for the spell’s entire casting gain the benefits of a Short Rest and also regain 2d8 Hit Points. A creature can’t be affected by this spell again until that creature finishes a Long Rest. Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 2.
Prestidigitation,Cantrip,Transmutation,1 Action,10 ft.,"V, S",1 Hour,"Cantrip 1 Action 10 ft. V, S 1 Hour Transmutation None Utility You create a magical effect within range. Choose the effect from the options below. If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time. Sensory Effect. You create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor. Fire Play. You instantaneously light or snuff out a candle, a torch, or a small campfire. Clean or Soil. You instantaneously clean or soil an object no larger than 1 cubic foot. Minor Sensation. You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour. Magic Mark. You make a color, a small mark, or a symbol appear on an object or a surface for 1 hour. Minor Creation. You create a nonmagical trinket or an illusory image that can fit in your hand. It lasts until the end of your next turn. A trinket can deal no damage and has no monetary worth."
Prismatic Spray,7th,Evocation,1 Action,Self,"V, S",Instantaneous,"DEX Save Fire (...) 7th 1 Action Self (60 ft. ) V, S Instantaneous Evocation DEX Save Fire (...) Eight rays of light flash from you in a 60-foot Cone. Each creature in the Cone makes a Dexterity saving throw. For each target, roll 1d8 to determine which color ray affects it, consulting the Prismatic Rays table. Prismatic Rays 1d8	Ray 1	Red. Failed Save: 12d6 Fire damage. Successful Save: Half as much damage. 2	Orange. Failed Save: 12d6 Acid damage. Successful Save: Half as much damage. 3	Yellow. Failed Save: 12d6 Lightning damage. Successful Save: Half as much damage. 4	Green. Failed Save: 12d6 Poison damage. Successful Save: Half as much damage. 5	Blue. Failed Save: 12d6 Cold damage. Successful Save: Half as much damage. 6	Indigo. Failed Save: The target has the Restrained condition and makes a Constitution saving throw at the end of each of its turns. If it successfully saves three times, the condition ends. If it fails three times, it has the Petrified condition until it is freed by an effect like the Greater Restoration spell. The successes and failures needn’t be consecutive; keep track of both until the target collects three of a kind. 7	Violet. Failed Save: The target has the Blinded condition and makes a Wisdom saving throw at the start of your next turn. On a successful save, the condition ends. On a failed save, the condition ends, and the creature teleports to another plane of existence (DM’s choice). 8	Special. The target is struck by two rays. Roll twice, rerolling any 8."
Prismatic Wall,9th,Abjuration,1 Action,60 ft.,"V, S",10 Minutes,"Fire (...) 9th 1 Action 60 ft. V, S 10 Minutes Abjuration CON Save Fire (...) A shimmering, multicolored plane of light forms a vertical opaque wall—up to 90 feet long, 30 feet high, and 1 inch thick—centered on a point within range. Alternatively, you shape the wall into a globe up to 30 feet in diameter centered on a point within range. The wall lasts for the duration. If you position the wall in a space occupied by a creature, the spell ends instantly without effect. The wall sheds Bright Light within 100 feet and Dim Light for an additional 100 feet. You and creatures you designate when you cast the spell can pass through and be near the wall without harm. If another creature that can see the wall moves within 20 feet of it or starts its turn there, the creature must succeed on a Constitution saving throw or have the Blinded condition for 1 minute. The wall consists of seven layers, each with a different color. When a creature reaches into or passes through the wall, it does so one layer at a time through all the layers. Each layer forces the creature to make a Dexterity saving throw or be affected by that layer’s properties as described in the Prismatic Layers table. The wall, which has AC 10, can be destroyed one layer at a time, in order from red to violet, by means specific to each layer. If a layer is destroyed, it is gone for the duration. Antimagic Field has no effect on the wall, and Dispel Magic can affect only the violet layer. Prismatic Layers Order	Effects 1	Red. Failed Save: 12d6 Fire damage. Successful Save: Half as much damage. Additional Effects: Nonmagical ranged attacks can’t pass through this layer, which is destroyed if it takes at least 25 Cold damage. 2	Orange. Failed Save: 12d6 Acid damage. Successful Save: Half as much damage. Additional Effects: Magical ranged attacks can’t pass through this layer, which is destroyed by a strong wind (such as the one created by Gust of Wind). 3	Yellow. Failed Save: 12d6 Lightning damage. Successful Save: Half as much damage. Additional Effects: The layer is destroyed if it takes at least 60 Force damage. 4	Green. Failed Save: 12d6 Poison damage. Successful Save: Half as much damage. Additional Effects: A Passwall spell, or another spell of equal or greater level that can open a portal on a solid surface, destroys this layer. 5	Blue. Failed Save: 12d6 Cold damage. Successful Save: Half as much damage. Additional Effects: The layer is destroyed if it takes at least 25 Fire damage. 6	Indigo. Failed Save: The target has the Restrained condition and makes a Constitution saving throw at the end of each of its turns. If it successfully saves three times, the condition ends. If it fails three times, it has the Petrified condition until it is freed by an effect like the Greater Restoration spell. The successes and failures needn’t be consecutive; keep track of both until the target collects three of a kind. Additional Effects: Spells can’t be cast through this layer, which is destroyed by Bright Light shed by the Daylight spell. 7	Violet. Failed Save: The target has the Blinded condition and makes a Wisdom saving throw at the start of your next turn. On a successful save, the condition ends. On a failed save, the condition ends, and the creature teleports to another plane of existence (DM’s choice). Additional Effects: This layer is destroyed by Dispel Magic."
Produce Flame,Cantrip,Conjuration,1 Bonus Action,Self,"V, S",10 Minutes,"Fire Cantrip 1 Bonus Action Self V, S 10 Minutes Conjuration Ranged Fire A flickering flame appears in your hand and remains there for the duration. While there, the flame emits no heat and ignites nothing, and it sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The spell ends if you cast it again. Until the spell ends, you can take a Magic action to hurl fire at a creature or an object within 60 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 Fire damage. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8)."
Programmed Illusion,6th,Illusion,1 Action,120 ft.,"V, S, M",Until Dispelled,"Control 6th 1 Action 120 ft. (30 ft.  *) V, S, M * Until Dispelled Illusion None Control You create an illusion of an object, a creature, or some other visible phenomenon within range that activates when a specific trigger occurs. The illusion is imperceptible until then. It must be no larger than a 30-foot Cube, and you decide when you cast the spell how the illusion behaves and what sounds it makes. This scripted performance can last up to 5 minutes. When the trigger you specify occurs, the illusion springs into existence and performs in the manner you described. Once the illusion finishes performing, it disappears and remains dormant for 10 minutes, after which the illusion can be activated again. The trigger can be as general or as detailed as you like, though it must be based on visual or audible phenomena that occur within 30 feet of the area. For example, you could create an illusion of yourself to appear and warn off others who attempt to open a trapped door. Physical interaction with the image reveals it to be illusory, since things can pass through it. A creature that takes the Study action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it makes sounds hollow to the creature. * - (jade dust worth 25+ GP)"
Project Image,7th,Concentration,"Illusion • V, S, M",1 Day,,1 Action,"Control 7th 1 Action 500 miles V, S, M * Concentration 1 Day Illusion None Control You create an illusory copy of yourself that lasts for the duration. The copy can appear at any location within range that you have seen before, regardless of intervening obstacles. The illusion looks and sounds like you, but it is intangible. If the illusion takes any damage, it disappears, and the spell ends. You can see through the illusion’s eyes and hear through its ears as if you were in its space. As a Magic action, you can move it up to 60 feet and make it gesture, speak, and behave in whatever way you choose. It mimics your mannerisms perfectly. Physical interaction with the image reveals it to be illusory, since things can pass through it. A creature that takes the Study action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it makes sounds hollow to the creature. * - (a statuette of yourself worth 5+ GP)"
Protection from Energy,3rd,Concentration,"Abjuration • V, S",1 Hour,,1 Action,"Buff (...) 3rd 1 Action Touch V, S Concentration 1 Hour Abjuration None Buff (...) For the duration, the willing creature you touch has Resistance to one damage type of your choice: Acid, Cold, Fire, Lightning, or Thunder."
Protection from Evil and Good,1st,Concentration,"Abjuration • V, S, M",10 Minutes,,1 Action,"Buff (...) 1st 1 Action Touch V, S, M * Concentration 10 Minutes Abjuration None Buff (...) Until the spell ends, one willing creature you touch is protected against creatures that are Aberrations, Celestials, Elementals, Fey, Fiends, or Undead. The protection grants several benefits. Creatures of those types have Disadvantage on attack rolls against the target. The target also can’t be possessed by or gain the Charmed or Frightened conditions from them. If the target is already possessed, Charmed, or Frightened by such a creature, the target has Advantage on any new saving throw against the relevant effect. * - (a flask of Holy Water worth 25+ GP, which the spell consumes)"
Protection from Poison,2nd,Abjuration,1 Action,Touch,"V, S",1 Hour,"2nd 1 Action Touch V, S 1 Hour Abjuration None Buff (...) You touch a creature and end the Poisoned condition on it. For the duration, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage."
Purify Food and Drink,1st,Ritual,"Transmutation • V, S",Instantaneous,,1 Action,"(5 ft. ) Utility 1st 1 Action Ritual 10 ft. (5 ft. ) V, S Instantaneous Transmutation None Utility You remove poison and rot from nonmagical food and drink in a 5-foot-radius Sphere centered on a point within range."
Raise Dead,5th,Necromancy,1 Hour,Touch,"V, S, M",Instantaneous,"5th 1 Hour Touch V, S, M * Instantaneous Necromancy None Healing With a touch, you revive a dead creature if it has been dead no longer than 10 days and it wasn’t Undead when it died. The creature returns to life with 1 Hit Point. This spell also neutralizes any poisons that affected the creature at the time of death. This spell closes all mortal wounds, but it doesn’t restore missing body parts. If the creature is lacking body parts or organs integral for its survival—its head, for instance—the spell automatically fails. Coming back from the dead is an ordeal. The target takes a −4 penalty to D20 Tests. Every time the target finishes a Long Rest, the penalty is reduced by 1 until it becomes 0. * - (a diamond worth 500+ GP, which the spell consumes)"
Rary's Telepathic Bond,5th,Ritual,"Divination • V, S, M",1 Hour,,1 Action,"Communication 5th 1 Action Ritual 30 ft. V, S, M * 1 Hour Divination None Communication You forge a telepathic link among up to eight willing creatures of your choice within range, psychically linking each creature to all the others for the duration. Creatures that can’t communicate in any languages aren’t affected by this spell. Until the spell ends, the targets can communicate telepathically through the bond whether or not they share a language. The communication is possible over any distance, though it can’t extend to other planes of existence. * - (two eggs)"
Ray of Enfeeblement,2nd,Concentration,"Necromancy • V, S",1 Minute,,1 Action,"CON Save Debuff 2nd 1 Action 60 ft. V, S Concentration 1 Minute Necromancy CON Save Debuff A beam of enervating energy shoots from you toward a creature within range. The target must make a Constitution saving throw. On a successful save, the target has Disadvantage on the next attack roll it makes until the start of your next turn. On a failed save, the target has Disadvantage on Strength-based D20 Tests for the duration. During that time, it also subtracts 1d8 from all its damage rolls. The target repeats the save at the end of each of its turns, ending the spell on a success."
Ray of Frost,Cantrip,Evocation,1 Action,60 ft.,"V, S",Instantaneous,"Cold Cantrip 1 Action 60 ft. V, S Instantaneous Evocation Ranged Cold A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 Cold damage, and its Speed is reduced by 10 feet until the start of your next turn. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8)."
Ray of Sickness,1st,Necromancy,1 Action,60 ft.,"V, S",Instantaneous,"Poison 1st 1 Action 60 ft. V, S Instantaneous Necromancy Ranged Poison You shoot a greenish ray at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 Poison damage and has the Poisoned condition until the end of your next turn. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1."
Regenerate,7th,Transmutation,1 Minute,Touch,"V, S, M",1 Hour,"7th 1 Minute Touch V, S, M * 1 Hour Transmutation None Healing A creature you touch regains 4d8 + 15 Hit Points. For the duration, the target regains 1 Hit Point at the start of each of its turns, and any severed body parts regrow after 2 minutes. * - (a prayer wheel)"
Reincarnate,5th,Necromancy,1 Hour,Touch,"V, S, M",Instantaneous,"5th 1 Hour Touch V, S, M * Instantaneous Necromancy None Healing You touch a dead Humanoid or a piece of one. If the creature has been dead no longer than 10 days, the spell forms a new body for it and calls the soul to enter that body. Roll 1d10 and consult the table below to determine the body’s species, or the DM chooses another playable species. 1d10	Species 1	Aasimar 2	Dragonborn 3	Dwarf 4	Elf 5	Gnome 6	Goliath 7	Halfling 8	Human 9	Orc 10	Tiefling The reincarnated creature makes any choices that a species’ description offers, and the creature recalls its former life. It retains the capabilities it had in its original form, except it loses the traits of its previous species and gains the traits of its new one. * - (rare oils worth 1,000+ GP, which the spell consumes)"
Remove Curse,3rd,Abjuration,1 Action,Touch,"V, S",Instantaneous,"3rd 1 Action Touch V, S Instantaneous Abjuration None Buff At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner’s Attunement to the object so it can be removed or discarded."
Resistance,Cantrip,Concentration,"Abjuration • V, S",1 Minute,,1 Action,"Buff Cantrip 1 Action Touch V, S Concentration 1 Minute Abjuration None Buff You touch a willing creature and choose a damage type: Acid, Bludgeoning, Cold, Fire, Lightning, Necrotic, Piercing, Poison, Radiant, Slashing, or Thunder. When the creature takes damage of the chosen type before the spell ends, the creature reduces the total damage taken by 1d4. A creature can benefit from this spell only once per turn."
Resurrection,7th,Necromancy,1 Hour,Touch,"V, S, M",Instantaneous,"7th 1 Hour Touch V, S, M * Instantaneous Necromancy None Healing With a touch, you revive a dead creature that has been dead for no more than a century, didn’t die of old age, and wasn’t Undead when it died. The creature returns to life with all its Hit Points. This spell also neutralizes any poisons that affected the creature at the time of death. This spell closes all mortal wounds and restores any missing body parts. Coming back from the dead is an ordeal. The target takes a −4 penalty to D20 Tests. Every time the target finishes a Long Rest, the penalty is reduced by 1 until it becomes 0. Casting this spell to revive a creature that has been dead for 365 days or longer taxes you. Until you finish a Long Rest, you can’t cast spells again, and you have Disadvantage on D20 Tests. * - (a diamond worth 1,000+ GP, which the spell consumes)"
Reverse Gravity,7th,Concentration,"Transmutation • V, S, M",1 Minute,,1 Action,"(50 ft.  *) DEX Save Control 7th 1 Action 100 ft. (50 ft.  *) V, S, M * Concentration 1 Minute Transmutation DEX Save Control This spell reverses gravity in a 50-foot-radius, 100-foot high Cylinder centered on a point within range. All creatures and objects in that area that aren’t anchored to the ground fall upward and reach the top of the Cylinder. A creature can make a Dexterity saving throw to grab a fixed object it can reach, thus avoiding the fall upward. If a ceiling or an anchored object is encountered in this upward fall, creatures and objects strike it just as they would during a downward fall. If an affected creature or object reaches the Cylinder’s top without striking anything, it hovers there for the duration. When the spell ends, affected objects and creatures fall downward. * - (a lodestone and iron filings)"
Revivify,3rd,Necromancy,1 Action,Touch,"V, S, M",Instantaneous,"3rd 1 Action Touch V, S, M * Instantaneous Necromancy None Healing You touch a creature that has died within the last minute. That creature revives with 1 Hit Point. This spell can’t revive a creature that has died of old age, nor does it restore any missing body parts. * - (a diamond worth 300+ GP, which the spell consumes)"
Rope Trick,2nd,Transmutation,1 Action,Touch,"V, S, M",1 Hour,"2nd 1 Action Touch V, S, M * 1 Hour Transmutation None Utility You touch a rope. One end of it hovers upward until the rope hangs perpendicular to the ground or the rope reaches a ceiling. At the rope’s upper end, an Invisible 3-foot-by-5-foot portal opens to an extradimensional space that lasts until the spell ends. That space can be reached by climbing the rope, which can be pulled into or dropped out of it. The space can hold up to eight Medium or smaller creatures. Attacks, spells, and other effects can’t pass into or out of the space, but creatures inside it can see through the portal. Anything inside the space drops out when the spell ends. * - (a segment of rope)"
Sacred Flame,Cantrip,Evocation,1 Action,60 ft.,"V, S",Instantaneous,"Radiant Cantrip 1 Action 60 ft. V, S Instantaneous Evocation DEX Save Radiant Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 Radiant damage. The target gains no benefit from Half Cover or Three-Quarters Cover for this save. Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8)."
Sanctuary,1st,Abjuration,1 Bonus Action,30 ft.,"V, S, M",1 Minute,"Buff (...) 1st 1 Bonus Action 30 ft. V, S, M * 1 Minute Abjuration WIS Save Buff (...) You ward a creature within range. Until the spell ends, any creature who targets the warded creature with an attack roll or a damaging spell must succeed on a Wisdom saving throw or either choose a new target or lose the attack or spell. This spell doesn’t protect the warded creature from areas of effect. The spell ends if the warded creature makes an attack roll, casts a spell, or deals damage. * - (a shard of glass from a mirror)"
Scorching Ray,2nd,Evocation,1 Action,120 ft.,"V, S",Instantaneous,"Fire 2nd 1 Action 120 ft. V, S Instantaneous Evocation Ranged Fire You hurl three fiery rays. You can hurl them at one target within range or at several. Make a ranged spell attack for each ray. On a hit, the target takes 2d6 Fire damage. Using a Higher-Level Spell Slot. You create one additional ray for each spell slot level above 2."
Scrying,5th,Concentration,"Divination • V, S, M",10 Minutes,,10 Minutes,"WIS Save Detection 5th 10 Minutes Self V, S, M * Concentration 10 Minutes Divination WIS Save Detection You can see and hear a creature you choose that is on the same plane of existence as you. The target makes a Wisdom saving throw, which is modified (see the tables below) by how well you know the target and the sort of physical connection you have to it. The target doesn’t know what it is making the save against, only that it feels uneasy. Your Knowledge of the Target Is...	Save Modifier Secondhand (heard of the target)	+5 Firsthand (met the target)	+0 Extensive (know the target well)	−5 You Have the Target’s...	Save Modifier Picture or other likeness	−2 Garment or other possession	−4 Body part, lock of hair, or bit of nail	−10 On a successful save, the target isn’t affected, and you can’t use this spell on it again for 24 hours. On a failed save, the spell creates an Invisible, intangible sensor within 10 feet of the target. You can see and hear through the sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. If something can see the sensor, it appears as a luminous orb about the size of your fist. Instead of targeting a creature, you can target a location you have seen. When you do so, the sensor appears at that location and doesn’t move. * - (a focus worth 1,000+ GP, such as a crystal ball, mirror, or water-filled font)"
Searing Smite,1st,Evocation,1 Bonus Action *,Self,V,1 Minute,"Fire (...) 1st 1 Bonus Action * Self V 1 Minute Evocation CON Save Fire (...) As you hit the target, it takes an extra 1d6 Fire damage from the attack. At the start of each of its turns until the spell ends, the target takes 1d6 Fire damage and then makes a Constitution saving throw. On a failed save, the spell continues. On a successful save, the spell ends. Using a Higher-Level Spell Slot. All the damage increases by 1d6 for each spell slot level above 1. * - which you take immediately after hitting a target with a Melee weapon or an Unarmed Strike"
See Invisibility,2nd,Divination,1 Action,Self,"V, S, M",1 Hour,"2nd 1 Action Self V, S, M * 1 Hour Divination None Detection For the duration, you see creatures and objects that have the Invisible condition as if they were visible, and you can see into the Ethereal Plane. Creatures and objects there appear ghostly. * - (a pinch of talc)"
Seeming,5th,Illusion,1 Action,30 ft.,"V, S",8 Hours,"Control 5th 1 Action 30 ft. V, S 8 Hours Illusion CHA Save Control You give an illusory appearance to each creature of your choice that you can see within range. An unwilling target can make a Charisma saving throw, and if it succeeds, it is unaffected by this spell. You can give the same appearance or different ones to the targets. The spell can change the appearance of the targets’ bodies and equipment. You can make each creature seem 1 foot shorter or taller and appear heavier or lighter. A target’s new appearance must have the same basic arrangement of limbs as the target, but the extent of the illusion is otherwise up to you. The spell lasts for the duration. The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to a creature’s outfit, objects pass through the hat. A creature that takes the Study action to examine a target can make an Intelligence (Investigation) check against your spell save DC. If it succeeds, it becomes aware that the target is disguised."
Sending,3rd,Divination,1 Action,Unlimited,"V, S, M",Instantaneous,"3rd 1 Action Unlimited V, S, M * Instantaneous Divination None Communication You send a short message of 25 words or fewer to a creature you have met or a creature described to you by someone who has met it. The target hears the message in its mind, recognizes you as the sender if it knows you, and can answer in a like manner immediately. The spell enables targets to understand the meaning of your message. You can send the message across any distance and even to other planes of existence, but if the target is on a different plane than you, there is a 5 percent chance that the message doesn’t arrive. You know if the delivery fails. Upon receiving your message, a creature can block your ability to reach it again with this spell for 8 hours. If you try to send another message during that time, you learn that you are blocked, and the spell fails. * - (a copper wire)"
Sequester,7th,Transmutation,1 Action,Touch,"V, S, M",Until Dispelled,"7th 1 Action Touch V, S, M * Until Dispelled Transmutation None Invisible With a touch, you magically sequester an object or a willing creature. For the duration, the target has the Invisible condition and can’t be targeted by Divination spells, detected by magic, or viewed remotely with magic. If the target is a creature, it enters a state of suspended animation; it has the Unconscious condition, doesn’t age, and doesn’t need food, water, or air. You can set a condition for the spell to end early. The condition can be anything you choose, but it must occur or be visible within 1 mile of the target. Examples include “after 1,000 years” or “when the tarrasque awakens.” This spell also ends if the target takes any damage. * - (gem dust worth 5,000+ GP, which the spell consumes)"
Shapechange,9th,Concentration,"Transmutation • V, S, M",1 Hour,,1 Action,"Shapechanging 9th 1 Action Self V, S, M * Concentration 1 Hour Transmutation None Shapechanging You shape-shift into another creature for the duration or until you take a Magic action to shape-shift into a different eligible form. The new form must be of a creature that has a Challenge Rating no higher than your level or Challenge Rating. You must have seen the sort of creature before, and it can’t be a Construct or an Undead. When you cast the spell, you gain a number of Temporary Hit Points equal to the Hit Points of the first form into which you shape-shift. These Temporary Hit Points vanish if any remain when the spell ends. Your game statistics are replaced by the stat block of the chosen form, but you retain your creature type; alignment; personality; Intelligence, Wisdom, and Charisma scores; Hit Points; Hit Point Dice; proficiencies; and ability to communicate. If you have the Spellcasting feature, you retain it too. Upon shape-shifting, you determine whether your equipment drops to the ground or changes in size and shape to fit the new form while you’re in it. * - (a jade circlet worth 1,500+ GP)"
