name,level,school,casting_time,range,components,duration,description
Otto's Irresistible Dance,6th,Enchantment,Action,30 feet,V,"Concentration , up to 1 minute","One creature that you can see within range must make a Wisdom sa ving throw. On a successful sa ve, the target dances comically until the end of its next turn, during which it must spend all its mo vement to dance in place. On a failed sa ve, the target has the Charmed condition for the dur ation. While Charmed, the target dances comically , must use all its mo vement to dance in place, and has Disadvantage on Dexterity saving throws and attack rolls, and other creatures have Advantage on attack rolls against it. On each of its turns, the target can take an action to collect itself and r epeat the sa ve, ending the spell on itself on a success. Spells (P)"
Passwall,5th,Transmutation,Action,30 feet,"V, S, M (a pinch of sesame seeds)",1 hour,"A passage appears at a point that you can see on a wooden, plaster , or st one sur face (such as a wall, ceiling, or floor) within range and lasts for the dur ation. you choose the opening’ s dimensions: up to 5 feet wide, 8 feet tall, and 20 feet deep. The passage creates no instability in a structur e surr ounding it. When the opening disappears, any creatures or objects still in the passage cr eated by the spell are saf ely ejected to an unoccupied space near est to the sur face on which you cast the spell."
Pass without Trace,2nd,Abjuration,Action,Self,"V, S, M (ashes from burned mistlet oe)","Concentration , up to 1 hour","You radiate a concealing aur a in a 30-foot Emanation for the dur ation. While in the aur a, you and each creature you choose have a +10 bonus to Dexterity ( Stealth ) checks and lea ve no tr acks."
Phantasmal Force,2nd,Illusion,Action,60 feet,"V, S, M (a bit of fleece)","Concentration , up to 1 minute","You attempt to craft an illusion in the mind of a creature you can see within range. The tar get mak es an Intelligence saving throw. On a failed sa ve, you cr eate a phantasmal object, creature, or other phenomenon that is no lar ger than a 10-foot Cube and that is per ceivable only to the target for the dur ation. The phantasm includes sound, temper ature, and other stimuli. The tar get can take a Study action to examine the phantasm with an Intelligence ( Investigation ) check against your spell sa ve DC. If the check succeeds, the target r ealiz es that the phantasm is an illusion, and the spell ends. While affected by the spell, the target tr eats the phantasm as if it wer e real and r ationaliz es any illogical outcomes from inter acting with it. for example, if the target steps through a phantasmal bridge and sur vives the fall, it belie ves the bridge exists and something else caused it to fall. An affected target can e ven take damage from the illusion if the phantasm represents a danger ous creature or hazar d. On each of your turns, such a phantasm can deal 2d8 Psy chic damage to the target if it is in the phantasm ’s area or within 5 feet of the phantasm. The tar get per ceives the damage as a type appr opriate to the illusion."
Phantasmal Killer,4th,Illusion,Action,120 feet,"V, S","Concentration , up to 1 minute","You tap into the nightmar es of a creature you can see within range and cr eate an illusion of its deepest f ears, visible only to that creature. The tar get mak es a Wisdom sa ving throw. On a failed sa ve, the target takes 4d10 Psy chic damage and has Disadvantage on ability checks and attack rolls for the dur ation. On a successful sa ve, the target takes half as much damage, and the spell ends. For the dur ation, the target mak es a Wisdom sa ving throw at the end of each of its turns. On a failed sa ve, it takes the Psychic damage again. On a successful sa ve, the spell ends. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d10 for each spell slot le vel abo ve 4."
Phantom Steed,3rd,Illusion,1 minute or Ritual,30 feet,"V, S",1 hour,"A Lar ge, quasi-r eal, horselik e creature appears on the ground in an unoccupied space of your choice within range. you decide the creature’s appear ance, and it is equipped with a saddle, bit, and bridle. Any of the equipment created by the spell v anishes in a puff of smok e if it is carried more than 10 feet awa y from the steed. For the dur ation, you or a creature you choose can ride the steed. The steed uses the Riding Horse stat block (see appendix B ), except it has a Speed of 100 feet and can tr avel 13 miles in an hour . When the spell ends, the steed gr adually fades, giving the rider 1 minute to dismount. The spell ends early if the steed takes any damage."
Planar Ally,6th,Conjuration,10 minutes,60 feet,"V, S",Instantaneous,"You beseech another worldly entity for aid. The being must be known to you: a god, a demon prince, or some other being of cosmic power . That entity sends a Celestial, an Elemental, or a Fiend lo yal to it to aid you, making the creature appear in an unoccupied space within range. If you know a specific creature’s name, you can speak that name when you cast this spell to request that creature, though you might get a diff erent creature anywa y (DM’ s choice). When the creature appears, it is under no compulsion to beha ve a par ticular wa y. You can ask it to per form a ser vice in exchange for pa yment, but it isn ’t obliged to do so. The r equested task could range from simple (fly us acr oss the chasm, or help us fight a battle) to complex (sp y on our enemies, or pr otect us during our for ay into the dungeon). you must be able to communicate with the creature to bar gain for its ser vices. Payment can take a v ariety of forms. A Celestial might r equir e a sizable donation of gold or magic items to an allied temple, while a Fiend might demand a living sacrifice or a gift of tr easur e. Some creatures might ex change their ser vice for a quest under taken by you. A task that can be measur ed in minutes r equir es a pa yment wor th 100 GP per minute. A task measur ed in hours requir es 1,000 GP per hour . And a task measur ed in da ys (up to 10 da ys) r equir es 10,000 GP per da y. The DM can adjust these pa yments based on the cir cumstances under which you cast the spell. If the task is aligned with the creature’s ethos, the pa yment might be halv ed or e ven waiv ed. Nonhazar dous tasks typically r equir e only half the suggested payment, while especially danger ous tasks might r equir e a gr eater gift. creatures rarely accept tasks that seem suicidal. After the creature completes the task, or when the agr eed-upon dur ation of ser vice expir es, the creature returns to its home plane after r epor ting back to you if possible. If you are unable to agr ee on a price for the creature’s ser vice, the creature immediately r eturns to its home plane."
Planar Binding,5th,Abjuration,1 hour,60 feet,"V, S, M (a jewel wor th 1,000+ GP , which the spell consumes)",24 hours,"You attempt to bind a Celestial, an Elemental, a F ey, or a Fiend to your ser vice. The creature must be within range for the entir e casting of the spell. (T ypically , the creature is first summoned into the center of the inv erted v ersion of the Magic Circle spell to trap it while this spell is cast.) A t the completion of the casting, the target must succeed on a Charisma saving throw or be bound to ser ve you for the dur ation. If the creature was summoned or created by another spell, that spell’ s dur ation is extended to match the dur ation of this spell. A bound creature must follow your commands to the best of its ability . You might command the creature to accompany you on an adventure, to guar d a location, or to deliv er a message. If the creature is Hostile , it striv es to twist your commands to achie ve its own objectiv es. If the creature carries out your commands completely before the spell ends, it travels to you to repor t this fact if you are on the same plane of existence. If you are on a diff erent plane, it r eturns to the place wher e you bound it and r emains there until the spell ends. Using a Higher-Le vel Spell Slot. The dur ation incr eases with a spell slot of le vel 6 (10 da ys), 7 (30 da ys), 8 (180 da ys), and 9 (366 da ys)."
Plane Shift,7th,Conjuration,Action,Touch,"V, S, M (a fork ed, metal r od wor th 250+ GP and attuned to a plane of existence)",Instantaneous,"You and up to eight willing creatures who link hands in a cir cle are transpor ted to a diff erent plane of existence. you can specify a target destination in gener al terms, such as the City of Br ass on the Elemental Plane of Fir e or the palace of Dispater on the second le vel of the Nine Hells, and you appear in or near that destination, as determined by the DM. Alternativ ely, if you know the sigil sequence of a telepor tation cir cle on another plane of existence, this spell can take you to that cir cle. If the telepor tation cir cle is t oo small to hold all the creatures you tr anspor ted, they appear in the closest unoccupied spaces next to the cir cle."
Plant Growth,3rd,Transmutation,Action (Ov ergrowth) or 8 hours (Enrichment),150 feet,"V, S",Instantaneous,This spell channels vitality into plants. The casting time you use determines whether the spell has the Ov ergrowth or the Enrichment effect below . Overgrowth. Choose a point within range. All normal plants in a 100-foot-r adius Sphere center ed on that point become thick and o vergrown. A creature mo ving through that area must spend 4 feet of movement for e very 1 foot it mo ves. you can ex clude one or more areas of any siz e within the spell’ s area from being affected. Enrichment. All plants in a half-mile r adius center ed on a point within range become enriched for 365 da ys. The plants yield twice the normal amount of food when har vested. They can benefit from only one Plant Gr owth per y ear.
Poison Spray,Cantrip,Necromancy,Action,30 feet,"V, S",Instantaneous,"You spr ay toxic mist at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes"
Polymorph,4th,Transmutation,Action,60 feet,"V, S, M (a caterpillar cocoon)","Concentration , up to 1 hour","You attempt to transform a creature that you can see within range into a Beast. The tar get must succeed on a Wisdom saving throw or shape-shift into Beast form for the dur ation. That form can be any Beast you choose that has a Challenge Rating equal to or less than the target’s (or the target’s level if it doesn ’t have a Challenge Rating). The tar get’s game statistics are replaced by the stat block of the chosen Beast, but the target r etains its alignment, personality , creature type, Hit Points, and Hit Point Dice. The tar get gains a number of Temporary Hit Points equal to the Hit Points of the Beast form. These Temporary Hit Points v anish if any r emain when the spell ends. The spell ends early on the target if it has no Temporary Hit Points left. The tar get is limited in the actions it can per form by the anat omy of its new form, and it can ’t speak or cast spells. The tar get’s gear melds into the new form. The creature can ’t use or other wise benefit from any of that equipment."
Power Word Fortify,7th,Enchantment,Action,60 feet,,,"Component: V You for tify up to six creatures you can see within range. The spell best ows 120 Temporary Hit Points , which you divide among the spell’ s recipients."
Power Word Heal,9th,Enchantment,Action,60 feet,,,"Component: V A wa ve of healing energy washes over one creature you can see within range. The tar get r egains all its Hit Points. If the creature has the Charmed , Frightened , Paralyzed, Poisoned , or Stunned condition, the condition ends. If the creature has the Prone condition, it can use its Reaction to stand up."
Power Word Kill,9th,Enchantment,Action,60 feet,,,"Component: V You compel one creature you can see within range to die. If the target has 100 Hit Points or f ewer , it dies. Other wise, it takes 12d12 Psy chic damage."
Power Word Stun,8th,Enchantment,Action,60 feet,V,Instantaneous,"You o verwhelm the mind of one creature you can see within range. If the target has 150 Hit Points or f ewer , it has the Stunned condition. Other wise, its Speed is 0 until the star t of your next turn. The Stunned tar get mak es a Constitution saving throw at the end of each of its turns, ending the condition on itself on a success."
Prayer of Healing,2nd,Abjuration,10 minutes,30 feet,V,Instantaneous,Up to five creatures of your choice who r emain within range for the spell’ s entir e casting gain the benefits of a Shor t Rest and also r egain 2d8 Hit Points. A creature can ’t be affected by this spell again until that creature finishes a Long Rest . Using a Higher-Le vel Spell Slot. The healing incr eases by 1d8 for each spell slot le vel abo ve 2.
Prestidigitation,Cantrip,Transmutation,Action,10 feet,"V, S",Up to 1 hour,"You cr eate a magical effect within range. Choose the effect from the options below . If you cast this spell multiple times, you can have up to thr ee of its non-instantaneous effects activ e at a time. Sensor y Effect. You cr eate an instantaneous, harmless sensor y effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor . Fire Pla y. You instantaneously light or snuff out a candle, a t orch, or a small campfir e. Clean or Soil. You instantaneously clean or soil an object no lar ger than 1 cubic foot. Minor Sensation. You chill, warm, or fla vor up to 1 cubic foot of nonliving material for 1 hour . Magic Mark. You make a color , a small mark, or a symbol appear on an object or a sur face for 1 hour . Minor Cr eation. You cr eate a nonmagical trink et or an illusor y image that can fit in your hand. It lasts until the end of your next turn. A trink et can deal no damage and has no monetar y wor th."
Prismatic Spray,7th,Evocation,Action,Self,"V, S",Instantaneous,"Eight r ays of light flash from you in a 60-foot Cone . Each creature in the Cone mak es a Dexterity saving throw. For each target, roll 1d8 to determine which color r ay aff ects it, consulting the Prismatic Ra ys table. Prismatic Ra ys 1d8 Ray 1 Red. Failed Sa ve: 12d6 Fir e damage. Successful Sa ve: Half as much damage. 2 Orange. Failed Sa ve: 12d6 Acid damage. Successful Sa ve: Half as much damage. 3 Yellow . Failed Sa ve: 12d6 Lightning damage. Successful Sa ve: Half as much damage. 4 Green. Failed Sa ve: 12d6 P oison damage. Successful Sa ve: Half as much damage. 5 Blue. Failed Sa ve: 12d6 Cold damage. Successful Sa ve: Half as much damage. 6Indigo. Failed Sa ve: The tar get has the Restrained condition and mak es a Constitution saving throw at the end of each of its turns. If it successfully sa ves thr ee times, the condition ends. If it fails thr ee times, it has the P etrified condition until it is fr eed by an effect lik e the Greater Rest oration spell. The successes and failur es needn ’t be consecutiv e; keep tr ack of both until the target collects thr ee of a kind. 7Violet. Failed Sa ve: The tar get has the Blinded condition and mak es a Wisdom sa ving throw at the star t of your next turn. On a successful sa ve, the condition ends. On a failed sa ve, the condition ends, and the creature telepor ts to another plane of existence (DM’ s choice). 8 Special. The tar get is struck by two r ays. Roll twice, r erolling any 8."
Prismatic Wall,9th,Abjuration,Action,60 feet,"V, S",10 minutes,"A shimmering, multicolor ed plane of light forms a v ertical opaque wall—up to 90 feet long, 30 feet high, and 1 inch thick —center ed on a point within range. Alternativ ely, you shape the wall into a globe up to 30 feet in diameter center ed on a point within range. The wall lasts for the dur ation. If you position the wall in a space occupied by a creature, the spell ends instantly without effect. The wall sheds Bright Light within 100 feet and Dim Light for an additional 100 feet. you and creatures you designate when you cast the spell can pass through and be near the wall without harm. If another creature that can see the wall moves within 20 feet of it or star ts its turn there, the creature must succeed on a Constitution saving throw or have the Blinded condition for 1 minute. The wall consists of se ven la yers, each with a diff erent color . When a creature reaches into or passes through the wall, it does so one la yer at a time through all the la yers. Each la yer for ces the creature to make a Dexterity saving throw or be affected by that la yer’s proper ties as described in the Prismatic La yers table. The wall, which has A C 10, can be destr oyed one la yer at a time, in or der from r ed to violet, by means specific to each layer. If a la yer is destr oyed, it is gone for the dur ation. Antimagic Field has no effect on the wall, and Dispel Magic can affect only the violet la yer. Prismatic La yers Order Effects 1Red. Failed Sa ve: 12d6 Fir e damage. Successful Sa ve: Half as much damage. Additional Effects: Nonmagical ranged attacks can ’t pass through this la yer, which is destr oyed if it takes at least 25 Cold damage. 2Orange. Failed Sa ve: 12d6 Acid damage. Successful Sa ve: Half as much damage. Additional Effects: Magical ranged attacks can ’t pass through this la yer, which is destr oyed by a str ong wind (such as the one created by Gust of Wind ). 3Yellow . Failed Sa ve: 12d6 Lightning damage. Successful Sa ve: Half as much damage. Additional Effects: The layer is destr oyed if it takes at least 60 F orce damage. 4Green. Failed Sa ve: 12d6 P oison damage. Successful Sa ve: Half as much damage. Additional Effects: A Passwall spell, or another spell of equal or gr eater le vel that can open a por tal on a solid sur face, destr oys this la yer. 5Blue. Failed Sa ve: 12d6 Cold damage. Successful Sa ve: Half as much damage. Additional Effects: The la yer is destr oyed if it takes at least 25 Fir e damage. 6Indigo. Failed Sa ve: The tar get has the Restrained condition and mak es a Constitution saving throw at the end of each of its turns. If it successfully sa ves thr ee times, the condition ends. If it fails thr ee times, it has the P etrified condition until it is fr eed by an effect lik e the Greater Rest oration spell. The successes and failur es needn ’t be consecutiv e; keep tr ack of both until the target collects thr ee of a kind. Additional Effects: Spells can’t be cast through this la yer, which is destr oyed by Bright Light shed by the Daylight spell. 7Violet. Failed Sa ve: The tar get has the Blinded condition and mak es a Wisdom sa ving throw at the star t of your next turn. On a successful sa ve, the condition ends. On a failed sa ve, the condition ends, and the creature telepor ts to another plane of existence (DM’ s choice). Additional Effects: This la yer is destr oyed by Dispel Magic ."
Produce Flame,Cantrip,Conjuration,Bonus Action,Self,"V, S",10 minutes,"A flick ering flame appears in your hand and r emains there for the dur ation. While there, the flame emits no heat and ignites nothing, and it sheds Bright Light in a 20-foot r adius and Dim Light for an additional 20 feet. The spell ends if you cast it again. Until the spell ends, you can take a Magic action to hurl fir e at a creature or an object within 60 feet of you. Make a"
Programmed Illusion,6th,Illusion,Action,120 feet,"V, S, M (jade dust wor th 25+ GP)",Until dispelled,"You cr eate an illusion of an object, a creature, or some other visible phenomenon within range that activ ates when a specific trigger occurs. The illusion is imper ceptible until then. It must be no lar ger than a 30-foot Cube , and you decide when you cast the spell how the illusion beha ves and what sounds it mak es. This scripted per formance can last up to 5 minutes. When the trigger you specify occurs, the illusion springs into existence and per forms in the manner you described. Once the illusion finishes per forming, it disappears and r emains dormant for 10 minutes, after which the illusion can be activ ated again. The trigger can be as gener al or as detailed as you lik e, though it must be based on visual or audible phenomena that occur within 30 feet of the area. for example, you could cr eate an illusion of y ourself to appear and warn off others who attempt to open a tr apped door . Physical inter action with the image r eveals it to be illusor y, since things can pass through it. A creature that takes the Study action to examine the image can determine that it is an illusion with a successful Intelligence ( Investigation ) check against your spell sa ve DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it mak es sounds hollow to the creature."
Project Image,7th,Illusion,Action,500 miles,"V, S, M (a statuette of y ourself wor th 5+ GP)","Concentration , up to 1 da y","You cr eate an illusor y cop y of y ourself that lasts for the dur ation. The cop y can appear at any location within range that you have seen before, regar dless of inter vening obstacles. The illusion looks and sounds lik e you, but it is intangible. If the illusion takes any damage, it disappears, and the spell ends. You can see through the illusion ’s eyes and hear through its ears as if you wer e in its space. As a Magic action, you can move it up to 60 feet and make it gestur e, speak, and beha ve in whate ver wa y you choose. It mimics your mannerisms perfectly . Physical inter action with the image r eveals it to be illusor y, since things can pass through it. A creature that takes the Study action to examine the image can determine that it is an illusion with a successful Intelligence ( Investigation ) check against your spell sa ve DC. If a creature discerns the illusion for what it is, the creature can see through the image, and any noise it mak es sounds hollow to the creature."
Protection from Energy,3rd,Abjuration,Action,Touch,"V, S","Concentration , up to 1 hour","For the dur ation, the willing creature you touch has Resistance to one damage type of your choice: Acid, Cold, Fir e, Lightning, or Thunder ."
Protection from Evil and Good,1st,Abjuration,Action,Touch,"V, S, M (a flask of Holy W ater wor th 25+ GP , which the spell consumes)",Concentration up to 10 minutes,"Until the spell ends, one willing creature you touch is pr otected against creatures that are Aberr ations, Celestials, Elementals, F ey, Fiends, or Undead. The pr otection gr ants se veral benefits. creatures of those types have Disadvantage on attack rolls against the target. The tar get also can ’t be possessed by or gain the Charmed or Frightened conditions from them. If the target is alr eady possessed, Charmed, or Frightened by such a creature, the target has Advantage on any new sa ving throw against the r elevant effect."
Protection from Poison,2nd,Abjuration,Action,Touch,"V, S",1 hour,"You touch a creature and end the Poisoned condition on it. for the dur ation, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage."
Purify Food and Drink,1st,Transmutation,Action or Ritual,10 feet,"V, S",Instantaneous,You remo ve poison and r ot from nonmagical food and drink in a 5-foot-r adius Sphere center ed on a point within range. Spells (R)
Raise Dead,5th,Necromancy,1 hour,Touch,"V, S, M (a diamond wor th 500+ GP , which the spell consumes)",Instantaneous,"With a t ouch, you revive a dead creature if it has been dead no longer than 10 da ys and it wasn ’t Undead when it died. The creature returns to life with 1 Hit Point. This spell also neutr alizes any poisons that affected the creature at the time of death. This spell closes all mor tal wounds, but it doesn ’t restore missing body par ts. If the creature is lacking body par ts or organs integr al for its sur vival—its head, for instance—the spell aut omatically fails. Coming back from the dead is an or deal. The tar get takes a -4 penalty to D20 Tests . Every time the target finishes a Long Rest , the penalty is r educed by 1 until it becomes 0."
Rary's Telepathic Bond,5th,Divination,Action or Ritual,30 feet,"V, S, M (two eggs)",1 hour,"You for ge a telepathic link among up to eight willing creatures of your choice within range, psy chically linking each creature to all the others for the dur ation. creatures that can ’t communicate in any languages ar en’t affected by this spell. Until the spell ends, the targets can communicate telepathically through the bond whether or not they shar e a language. The communication is possible over any distance, though it can ’t extend to other planes of existence."
Ray of Enfeeblement,2nd,Necromancy,Action,60 feet,"V, S","Concentration , up to 1 minute","A beam of ener vating energy shoots from you toward a creature within range. The tar get must make a Constitution saving throw. On a successful sa ve, the target has Disadvantage on the next attack roll it mak es until the star t of your next turn. On a failed sa ve, the target has Disadvantage on Strength-based D20 Tests for the dur ation. During that time, it also subtr acts 1d8 from all its damage rolls. The tar get r epeats the sa ve at the end of each of its turns, ending the spell on a success."
Ray of Frost,Cantrip,Evocation,Action,60 feet,"V, S",Instantaneous,A frigid beam of blue-white light str eaks toward a creature within range. Make a ranged spell attack against the target.
Ray of Sickness,1st,Necromancy,Action,60 feet,"V, S",Instantaneous,"You shoot a gr eenish r ay at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 P oison damage and has the Poisoned condition until the end of your next turn. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d8 for each spell slot le vel abo ve 1."
Regenerate,7th,Transmutation,1 minute,Touch,"V, S, M (a pr ayer wheel)",1 hour,"A creature you touch r egains 4d8 + 15 Hit Points. for the dur ation, the target r egains 1 Hit Point at the star t of each of its turns, and any se vered body par ts regrow after 2 minutes."
Reincarnate,5th,Necromancy,1 hour,Touch,"V, S, M (r are oils wor th 1,000+ GP , which the spell consumes)",Instantaneous,"You touch a dead Humanoid or a piece of one. If the creature has been dead no longer than 10 da ys, the spell forms a new body for it and calls the soul to enter that body . Roll 1d10 and consult the table below to determine the body ’s species, or the DM chooses another pla yable species. 1d10 Species 1 Aasimar 2 Dragonborn 3 Dwar f 4 Elf 5 Gnome 6 Goliath 7 Halfling 8 Human 9 Orc 10 Tiefling The r eincarnated creature mak es any choices that a species’ description off ers, and the creature recalls its former lif e. It retains the capabilities it had in its original form, ex cept it loses the tr aits of its pr evious species and gains the tr aits of its new one."
Remove Curse,3rd,Abjuration,Action,Touch,"V, S",Instantaneous,"At your t ouch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse r emains, but the spell br eaks its owner ’s Attunement to the object so it can be r emo ved or discar ded."
Resistance,Cantrip,Abjuration,Action,Touch,,,"Component: V, S You touch a willing creature and choose a damage type: Acid, Bludgeoning, Cold, Fir e, Lightning, Necr otic, Pier cing, Poison, Radiant, Slashing, or Thunder . When the creature takes damage of the chosen type before the spell ends, the creature reduces the total damage tak en by 1d4. A creature can benefit from this spell only once per turn."
Resurrection,7th,Necromancy,1 hour,Touch,"V, S, M (a diamond wor th 1,000+ GP , which the spell consumes)",Instantaneous,"With a t ouch, you revive a dead creature that has been dead for no more than a centur y, didn ’t die of old age, and wasn ’t Undead when it died. The creature returns to life with all its Hit Points. This spell also neutr alizes any poisons that affected the creature at the time of death. This spell closes all mor tal wounds and r estores any missing body par ts. Coming back from the dead is an or deal. The tar get takes a -4 penalty to D20 Tests . Every time the target finishes a Long Rest , the penalty is r educed by 1 until it becomes 0. Casting this spell to revive a creature that has been dead for 365 da ys or longer tax es you. Until you finish a Long Rest, you can ’t cast spells again, and you have Disadvantage on D20 Tests."
Reverse Gravity,7th,Transmutation,Action,100 feet,"V, S, M (a lodest one and ir on filings)","Concentration , up to 1 minute","This spell r everses gr avity in a 50-foot-r adius, 100-foot high Cylinder center ed on a point within range. All creatures and objects in that area that ar en’t anchor ed to the gr ound fall upwar d and r each the t op of the Cylinder . A creature can make a Dexterity saving throw to grab a fix ed object it can r each, thus a voiding the fall upwar d. If a ceiling or an anchor ed object is encounter ed in this upwar d fall, creatures and objects strik e it just as they would during a downwar d fall. If an affected creature or object r eaches the Cylinder ’s top without striking anything, it ho vers there for the dur ation. When the spell ends, affected objects and creatures fall downwar d."
Revivify,3rd,Necromancy,Action,Touch,"V, S, M (a diamond wor th 300+ GP , which the spell consumes)",Instantaneous,"You touch a creature that has died within the last minute. That creature revives with 1 Hit Point. This spell can ’t revive a creature that has died of old age, nor does it r estore any missing body par ts."
Rope Trick,2nd,Transmutation,Action,Touch,"V, S, M (a segment of r ope)",1 hour,"You touch a r ope. One end of it ho vers upwar d until the r ope hangs perpendicular to the gr ound or the r ope r eaches a ceiling. A t the r ope’s upper end, an Invisible 3-foot-by-5-foot por tal opens to an extr adimensional space that lasts until the spell ends. That space can be r eached by climbing the r ope, which can be pulled into or dr opped out of it. The space can hold up to eight Medium or smaller creatures. Attacks, spells, and other effects can ’t pass into or out of the space, but creatures inside it can see through the por tal. Anything inside the space dr ops out when the spell ends. Spells (S)"
Sacred Flame,Cantrip,Evocation,Action,60 feet,"V, S",Instantaneous,Flame-lik e radiance descends on a creature that you can see within range. The tar get must succeed on a Dexterity saving throw or take 1d8 Radiant damage. The tar get gains no benefit from Half Cover or Three-Quar ters Cover for this
Sanctuary,1st,Abjuration,Bonus Action,30 feet,"V, S, M (a shar d of glass from a mirr or)",1 minute,"You war d a creature within range. Until the spell ends, any creature who targets the war ded creature with an attack roll or a damaging spell must succeed on a Wisdom sa ving throw or either choose a new tar get or lose the attack or spell. This spell doesn ’t protect the war ded creature from ar eas of effect. The spell ends if the war ded creature mak es an attack roll, casts a spell, or deals damage."
Scorching Ray,2nd,Evocation,Action,120 feet,"V, S",Instantaneous,"You hurl thr ee fier y rays. you can hurl them at one target within range or at se veral. Make a ranged spell attack for each ray. On a hit, the target takes 2d6 Fir e damage. Using a Higher-Le vel Spell Slot. You cr eate one additional r ay for each spell slot le vel abo ve 2."
Scrying,5th,Divination,10 minutes,Self,"V, S, M (a focus wor th 1,000+ GP , such as a cr ystal ball, mirr or, or water-filled font)","Concentration , up to 10 minutes","You can see and hear a creature you choose that is on the same plane of existence as you. The tar get mak es a Wisdom saving throw, which is modified (see the tables below) by how well you know the target and the sor t of physical connection you have to it. The tar get doesn ’t know what it is making the sa ve against, only that it f eels uneasy . Your Knowledge of the Target Is... Save Modifier Secondhand (hear d of the target) +5 Firsthand (met the target) +0 Extensiv e (know the target well) -5 You have the Target’s... Save Modifier Pictur e or other lik eness -2 Garment or other possession -4 Body par t, lock of hair , or bit of nail -10 On a successful sa ve, the target isn ’t affected, and you can ’t use this spell on it again for 24 hours. On a failed sa ve, the spell cr eates an Invisible , intangible sensor within 10 feet of the target. you can see and hear through the sensor as if you wer e there. The sensor mo ves with the target, r emaining within 10 feet of it for the dur ation. If something can see the sensor , it appears as a luminous orb about the siz e of your fist. Instead of tar geting a creature, you can tar get a location you have seen. When you do so, the sensor appears at that location and doesn ’t mo ve."
Searing Smite,1st,Evocation,"Bonus Action, which you take immediately after hitting a target with a Melee weapon or an Unarmed",,,,"Strik e Component: V As you hit the target, it takes an extr a 1d6 Fir e damage from the attack. A t the star t of each of its turns until the spell ends, the target takes 1d6 Fir e damage and then mak es a Constitution saving throw. On a failed sa ve, the spell continues. On a successful sa ve, the spell ends. Using a Higher-Le vel Spell Slot. All the damage incr eases by 1d6 for each spell slot le vel abo ve 1."
See Invisibility,2nd,Divination,Action,Self,"V, S, M (a pinch of talc)",1 hour,"For the dur ation, you see creatures and objects that have the Invisible condition as if they wer e visible, and you can see into the Ethereal Plane. creatures and objects there appear ghostly ."
Seeming,5th,Illusion,Action,30 feet,"V, S",8 hours,"You giv e an illusor y appear ance to each creature of your choice that you can see within range. An unwilling target can make a Charisma sa ving throw, and if it succeeds, it is unaff ected by this spell. You can giv e the same appear ance or diff erent ones to the targets. The spell can change the appear ance of the targets’ bodies and equipment. you can make each creature seem 1 foot shor ter or taller and appear hea vier or lighter . A target’s new appear ance must have the same basic arr angement of limbs as the target, but the extent of the illusion is other wise up to you. The spell lasts for the dur ation. The changes wr ought by this spell fail to hold up to physical inspection. for example, if you use this spell to add a hat to a creature’s outfit, objects pass through the hat. A creature that takes the Study action to examine a target can make an Intelligence ( Investigation ) check against your spell sa ve DC. If it succeeds, it becomes awar e that the target is disguised."
Sending,3rd,Divination,Action,Unlimited,"V, S, M (a copper wir e)",Instantaneous,"You send a shor t message of 25 wor ds or f ewer to a creature you have met or a creature described to you by someone who has met it. The tar get hears the message in its mind, r ecogniz es you as the sender if it knows you, and can answer in a lik e manner immediately . The spell enables tar gets to understand the meaning of your message. You can send the message acr oss any distance and e ven to other planes of existence, but if the target is on a diff erent plane than you, there is a 5 per cent chance that the message doesn ’t arriv e. You know if the deliv ery fails. Upon r eceiving your message, a creature can block your ability to reach it again with this spell for 8 hours. If you tr y to send another message during that time, you learn that you are blocked, and the spell fails."
Sequester,7th,Transmutation,Action,Touch,"V, S, M (gem dust wor th 5,000+ GP , which the spell consumes)",Until dispelled,"With a t ouch, you magically sequester an object or a willing creature. For the dur ation, the target has the Invisible condition and can ’t be tar geted by Divination spells, detected by magic, or viewed r emotely with magic. If the target is a creature, it enters a state of suspended animation; it has the Unconscious condition, doesn ’t age, and doesn ’t need food, water , or air . You can set a condition for the spell to end early . The condition can be anything you choose, but it must occur or be visible within 1 mile of the target. Examples include “ after 1,000 y ears” or “ when the tarr asque awak ens.” This spell also ends if the target takes any damage."
